HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal:","","","","","",""
"0302.91","2","Livers, roes and milt:","","","","","",""
"0302.91.20.00","3","Sturgeon roe","[""kg""]","15%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"0302.91.40","3","Other","","Free","","44¢/kg","",""
"0302.91.40.10","4","Mullet roe","[""kg""]","","","","",""
"0302.91.40.90","4","Other","[""kg""]","","","","",""
"0302.92.00.00","2","Shark fins","[""kg""]","Free","","2.2¢/kg","",""
"0302.99.00.00","2","Other","[""kg""]","Free","","44¢/kg","",""
"0303","0","Fish, frozen, excluding fish fillets and other fish meat of heading 0304:","","","","","",""
"","1","Salmonidae, excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.11.00.00","2","Sockeye salmon (red salmon) (Oncorhynchus nerka)","[""kg""]","Free","","4.4¢/kg","",""
"0303.12.00","2","Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","","Free","","4.4¢/kg","",""
"0303.12.00.12","3","Chinook (king)","[""kg""]","","","","",""
"0303.12.00.22","3","Chum (dog)","[""kg""]","","","","",""
"0303.12.00.32","3","Pink (humpie)","[""kg""]","","","","",""
"0303.12.00.52","3","Coho (silver)","[""kg""]","","","","",""
"0303.12.00.62","3","Other","[""kg""]","","","","",""
"0303.13.00.00","2","Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)","[""kg""]","Free","","4.4¢/kg","",""
"0303.14.00.00","2","Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","[""kg""]","Free","","2.2¢/kg","",""
"0303.19.01.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
"","1","Tilapias(Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodonidellus, Hypophthalmichthys spp.,Cirrhinus spp., Mylopharyngodon piceus, Catlacatla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fishoffal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.23.00.00","2","Tilapias (Oreochromis spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.24.00","2","Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","","Free","","2.2¢/kg","",""
"0303.24.00.10","3","Ictalurus spp.","[""kg""]","","","","",""
"0303.24.00.20","3","Pangasius spp. including basa and tra","[""kg""]","","","","",""
"0303.24.00.50","3","Other","[""kg""]","","","","",""
"0303.25.01.00","2","Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.26.00.00","2","Eels (Anguilla spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.29.01","2","Other","","Free","","2.2¢/kg","",""
"0303.29.01.10","3","Nile perch","[""kg""]","","","","",""
"0303.29.01.50","3","Other","[""kg""]","","","","",""
"","1","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.31.00","2","Halibut and Greenland turbot (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","","Free","","4.4¢/kg","",""
"0303.31.00.10","3","Atlantic halibut (Hippoglossus hippoglossus)","[""kg""]","","","","",""
"0303.31.00.20","3","Pacific halibut (Hippoglossus stenolepis)","[""kg""]","","","","",""
"0303.31.00.30","3","Greenland turbot (Greenland halibut) (Reinhardtius hippoglossoides)","[""kg""]","","","","",""
